"100 mil" 1 2 4 8 16 32 64 128 256 512
mpi2_avg 24039.5425238095 13813.3170952381 8360.8182857143 5096.0754285714 3040.335 1922.8198095238 1654.1194285714 1863.7985714286 2492.8266666667 3463.2974285714
mpi2_min 23459.227 12422.827 7232.429 4511.143 2801.542 1769.339 1565.297 1723.757 2308.378 3308.463
mpi2_max 24888.767 16009.613 9588.328 6858.668 3394.329 2158.939 1746.675 1980.959 2685.933 3758.1
mpi2_std 493.8584793257 1091.4012907206 565.6203833215 529.9671110154 147.1155043688 107.7732221016 47.211342984 71.2386483965 96.7018322052 89.7226406146
