cilk0 100000000 avg 21054.3904 10647.6102380952 7533.0536190476 5501.1350476191 4551.7306190476 3747.9956666667 3282.8670952381 2870.3748571429 2591.7883333333 2353.7363333333 2188.239 2027.6096190476 1922.6986666667 1797.3720952381 1715.7435714286 1620.1314285714 1601.2753333333 1504.9945714286 1487.7783333333 1447.2558571429 1385.1070476191 1324.8825714286 1333.842 1303.9452380952 1267.610952381 1218.7536190476 1198.9044285714 1237.7687619048 1187.1398095238 1188.880952381 1169.0352857143 1180.9278095238 1176.8597619048 1145.0727619048 1129.692952381 1115.0621904762
cilk0 100000000 max 21343.115 10760.632 7746.994 5562.664 4636.216 3836.268 3314.071 2901.929 2652.192 2392.07 2216.372 2127.135 2023.862 1881.329 1904.132 1772.626 1754.876 1735.221 1635.884 1596.631 1562.511 1479.416 1475.721 1472.036 1389.319 1344.154 1343.474 1370.671 1343.596 1348.544 1386.304 1315.514 1300.89 1253.304 1319.221 1232.088
cilk0 100000000 min 20555.505 10498.708 7279.54 5451.082 4456.033 3712.853 3242.938 2836.888 2549.464 2317.804 2149.794 1971.472 1860.569 1700.007 1614.581 1520.676 1479.366 1367.214 1336.723 1298.263 1274.36 1252.545 1244.27 1217.977 1191.406 1166.63 1160.48 1148.078 1109.69 1103.416 1099.514 1089.523 1071.903 1063.427 1055.63 1030.402
cilk0 100000000 std 159.7881531121 66.2352514209 137.6993365305 26.0686039087 47.8416261351 25.5539225136 20.2047162339 21.0128398207 25.6666570074 22.314692535 18.1513444819 34.3599230885 46.7148585766 61.5914714728 83.036682861 82.4708607786 102.7293170319 127.1539117898 97.1654245739 95.9559771115 92.6407019217 72.3916784324 75.829817783 75.434911022 74.7645313711 49.8160790804 45.7262597985 70.7348205588 66.9403736079 72.3248782042 73.1199436653 59.7229049081 70.4484241825 60.5022671574 69.381928868 59.7395734632
cilk1 100000000 avg 23447.1853 11720.2754285714 8299.9267619048 6031.9876190476 4970.8224285714 4104.1194285714 3585.4541904762 3123.3226666667 2822.5432857143 2537.4927619048 2361.3136666667 2171.2431904762 2059.0102857143 1918.4445238095 1824.0205714286 1759.2573333333 1713.2954285714 1651.9005714286 1593.9602380952 1547.3558095238 1481.121 1437.7822380952 1400.6012380952 1355.739 1317.1677142857 1310.7231904762 1285.0996190476 1250.4664761905 1237.050952381 1248.0211428572 1225.6531428572 1172.9534285714 1183.8790476191 1168.6188095238 1158.4714285714 1142.4452857143
cilk1 100000000 max 23668.252 11989.972 8633.104 6103.742 5110.992 4147.26 3644.734 3142.332 2872.605 2580.323 2402.557 2209.738 2133.62 2015.658 1931.57 1958.398 1824.106 1811.521 1745.6 1697.692 1612.429 1581.379 1523.906 1448.183 1444.083 1424.459 1438.953 1403.051 1437.888 1379.615 1341.045 1258.46 1325.017 1316.38 1354.22 1265.239
cilk1 100000000 min 23131.694 11617.591 8069.864 5973.83 4889.26 4058.889 3525.958 3099.657 2788.593 2480.822 2320.007 2099.083 1959.44 1806.535 1737.473 1607.619 1551.347 1495.635 1432.249 1398.284 1384.31 1337.948 1328.006 1290.799 1263.972 1261.501 1222.256 1199.175 1176.554 1168.292 1159.209 1129.72 1121.358 1096.688 1085.756 1072.217
cilk1 100000000 std 132.6264703745 90.7864797272 167.0231341793 36.2400752572 58.9733441502 23.24391277 28.0346545629 13.2312931618 23.2448529101 20.5652823465 22.4665906678 29.4099609446 40.3993049756 62.331552131 66.5218412475 86.7236196156 79.7777306757 92.1972844999 97.4962672413 90.8201774291 77.1845417652 71.8462929349 55.3863164364 41.0580590019 44.771987307 48.296477045 52.158889493 47.755067293 60.8839798974 63.5383842305 52.4900657832 35.3275375983 65.3766539527 52.8608046123 78.5213116775 53.5546192911
cilk2 100000000 avg 17356.9798 8829.5793809524 6212.7234761905 4594.1200952381 3787.4617142857 3134.518952381 2767.156952381 2404.4574761905 2172.3109047619 1972.9626666667 1843.8954761905 1714.7210952381 1618.2414761905 1541.8701428572 1479.0205714286 1418.005 1381.616 1334.276 1268.3706666667 1226.0158571429 1203.0996190476 1166.9484285714 1133.2486190476 1134 1088.2307142857 1055.5340952381 1023.9733809524 1013.7594761905 1013.3017619048 975.7242380952 976.5921904762 950.3643809524 954.4703333333 944.1981904762 924.5817142857 919.431952381
cilk2 100000000 max 17493.896 8946.769 6409.343 4657.184 3866.309 3169.027 2833.157 2457.176 2224.872 2016.196 1879.987 1751.712 1701.332 1619.856 1557.937 1497.068 1521.167 1450.202 1363.957 1326.655 1296.61 1290.486 1218.437 1235.786 1165.73 1158.172 1174.3 1161.691 1125.017 1083.48 1071.17 1067.479 1049.394 1180.225 992.281 1024.782
cilk2 100000000 min 17073.517 8711.923 6031.171 4528.295 3725.078 3078.193 2699.127 2357.766 2136.298 1921.802 1794.831 1665.311 1513.95 1435.651 1397.51 1345.925 1245.461 1138.406 1127.926 1102.715 1064.932 1059.229 1024.286 1022.888 1011.708 984.096 937.982 941.038 957.027 915.412 908.216 900.611 876.341 850.1 854.554 858.433
cilk2 100000000 std 102.3346576543 58.5194811986 111.1597978545 31.367262421 41.3791578408 21.5975053432 33.4216406651 22.4517798017 26.3084073727 24.0738362509 20.638790138 22.2227311911 52.1718111978 44.9368354085 43.9152946473 52.5785544429 85.1845329781 76.648609763 74.3384384577 67.4957577313 68.0892808946 64.2771729555 53.0804514982 58.5970289281 49.8028929934 51.9560624094 63.6402627654 58.8275752013 48.1738517952 46.2407490477 46.7116257409 44.3001145399 47.4240961921 73.3566617947 49.928874625 53.1654720279
