program length stat 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36
cilk2 10000000 avg 1847.4652 962.9471904762 719.7977619048 561.2796666667 470.1254285714 393.8372857143 341.9167619048 297.7034761905 278.0893809524 263.2964285714 252.985047619 243.7793809524 236.2023333333 231.5966666667 229.8142857143 222.6303809524 216.4022857143 217.1496190476 205.8543333333 210.1763809524 197.2713333333 202.364952381 214.5607619048 196.3938095238 202.2804761905 201.0768095238 204.7378095238 205.7826190476 198.5788095238 194.2376190476 208.004 173.1684285714 194.1061428571 197.2455238095 181.276952381 209.6575714286
cilk2 10000000 max 1867.294 986.381 766.099 593.955 489.189 412.015 365.104 328.881 300.606 287.907 280.054 265.201 251.79 255.352 264.861 245.487 245.699 257.115 239.659 257.358 267.227 289.516 304.714 296.339 319.205 308.685 335.148 349.3 263.222 321.625 356.728 253.522 351.454 329.435 339.552 366.769
cilk2 10000000 min 1821.718 929.798 695.908 522.195 435.528 362.863 306.606 275.015 236.685 225.742 219.558 216.447 212.826 200.126 187.669 190.786 162.799 180.899 175.417 175.326 154.96 150.328 170.285 146.134 154.147 147.014 137.341 138.502 160.848 144.702 137.245 139.164 142.489 139.291 143.351 161.86
cilk2 10000000 std 11.1852903809 11.6068188778 19.1310539383 20.4671035697 14.2490356571 14.7761399464 17.997221752 15.2484934752 17.3199506191 17.086766103 16.0027574451 12.9983147157 10.713821178 16.4892494018 21.952210996 14.2628327848 22.2128051474 20.2913944875 19.1166966297 18.4821150399 31.0594763516 36.235373338 40.1737140465 37.938609435 42.8607356162 45.180787382 53.8295277869 66.6098526987 33.5811654393 57.1950779608 58.3305190642 30.7340675303 48.3531771948 52.335576901 42.8687570807 50.44949923
openmp 10000000 avg 1731.0851 1008.5641904762 625.1254761905 491.2793333333 401.7281904762 364.6014761905 344.0683809524 306.373952381 288.410952381 301.1734285714 289.0865238095 279.2394761905 276.922047619 287.799047619 280.673952381 283.8356666667 285.4958095238 280.0297142857 290.3335238095 290.161952381 296.6191428571 301.7783809524 305.3915238095 315.1426666667 313.7235238095 327.622952381 348.1436190476 350.5276666667 364.0206190476 373.672 388.8758095238 403.9683809524 417.6292857143 436.3113333333 445.6471428571 485.4558571429
openmp 10000000 max 1742.114 1093.362 753.156 614.175 455.561 409.563 405.451 369.252 345.573 355.532 332.045 319.44 313.849 337.515 331.722 324.457 314.962 310.22 326.059 359.928 341.434 347.486 351.914 383.238 347.24 380.237 389.563 412.195 423.04 422.526 447.659 489.734 507.097 491.469 512.521 555.286
openmp 10000000 min 1714.501 952.223 543.423 431.083 355.218 322.857 303.326 279.21 265.707 253.625 254.631 250.195 248.232 246.51 216.195 255.588 250.275 250.897 256.356 249.036 247.805 235.3 251.985 282.325 282.658 269.682 310.002 314.28 309.301 312.289 333.054 344.381 368.012 382.851 401.31 411.843
openmp 10000000 std 8.2333798962 25.7633475981 50.8918582119 52.9172487468 26.4318225452 21.3763653847 21.777810116 23.770286844 16.4934703579 25.2619418208 19.2950543291 15.8146892022 17.5433972094 24.0904350178 25.7882370461 19.4575011097 19.8441644083 18.0543392018 22.2451644422 25.0849609258 26.425152844 25.9697237461 27.477206675 24.4525192063 16.5668505958 34.548483678 19.4692492626 30.5851378603 25.3886177498 27.5799356236 27.5974329796 33.2965599056 36.6810588262 27.4468321001 33.3080659155 32.0070353489
