program length stat 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36
cilk2 20000000 avg 3791.7097 1959.3040952381 1414.5481904762 1073.0058571429 904.6086666667 763.122047619 655.8933809524 572.868 516.203 483.9210952381 471.6738571429 440.3983809524 425.5179047619 407.0496190476 404.8845714286 379.1306190476 374.4035714286 363.5644285714 352.7896666667 350.5888571429 348.4118095238 326.2407619048 355.5894761905 312.2041428571 328.396 320.3553333333 323.7824761905 315.7424285714 321.6716666667 307.8028571429 306.4232857143 305.9162857143 308.2193333333 310.73 303.2095238095 322.5633333333
cilk2 20000000 max 3838.737 2027.443 1470.024 1126.096 943.981 791.254 675.36 593.984 552.053 514.904 501.335 464.999 462.473 432.222 431.938 431.456 417.186 403.999 394.557 432.854 409.671 399.82 466.028 374.434 428.598 398.225 491.566 419.473 521.374 406.738 389.179 391.961 391.534 424.325 412.335 414.171
cilk2 20000000 min 3755.708 1943.754 1372.717 1035.57 861.721 717.247 625.304 542.57 470.602 451.939 403.392 403.313 379.127 367.921 357.378 327.608 317.899 299.008 305.52 299.178 288.962 275.864 293.85 249.038 268.555 268.844 258.428 239.199 260.447 248.987 243.467 248.567 253.434 248.21 245.554 240.725
cilk2 20000000 std 19.5202667667 17.1921374904 22.1912359787 22.5919539312 17.5572848252 18.0580785536 14.1287706807 12.9177502724 18.8325723893 18.5018563066 21.7459696203 17.2250510434 24.7846144552 19.4593936403 19.7002651849 30.1930378903 25.53227254 25.5550519792 29.5353590588 38.4783528523 32.7690009943 32.8945179778 45.597290361 35.0845427108 49.1074094918 43.0720979607 58.6501251658 46.6351017513 58.6887165845 41.0087078256 40.3999285657 41.6638172521 44.2842125078 42.6522126179 45.0112366755 50.0417991646
openmp 20000000 avg 3571.5906 1995.9562380952 1172.4319047619 854.8378571429 702.731047619 613.4070952381 580.5357619048 522.5040952381 480.690952381 506.609 491.8355714286 468.8350952381 455.2710952381 459.2987619048 444.5834761905 455.0252380952 440.3101428571 447.6352857143 450.3525714286 446.4705238095 454.4465714286 448.840047619 461.920047619 463.8446666667 473.7398571429 458.3524761905 482.6252857143 499.710952381 507.9281904762 519.7423333333 521.4974285714 540.5135238095 555.038952381 570.7448571429 578.486952381 595.0011428571
openmp 20000000 max 3604.977 2017.797 1463.958 1069.368 842.077 682.947 676.8 582.42 527.865 624.679 544.126 511.991 507.872 533.17 481.148 523.081 491.52 491.914 482.692 475.753 531.146 509.36 501.732 565.764 566.965 491.118 550.377 563.814 599.938 590.227 600.171 642.97 611.304 633.007 682.785 743.279
openmp 20000000 min 3525.223 1946.964 1037.179 708.756 606.73 517.638 524.292 471.313 443.972 443.387 457.455 408.249 412.121 420.742 401.648 400.441 402.538 400.521 410.25 381.221 364.419 378.999 408.086 396.619 424.484 428.531 390.595 453.734 448.27 477.714 463.729 463.942 507.138 493.603 510.01 534.925
openmp 20000000 std 19.2451813611 12.8856715033 112.1405866308 111.6505312452 53.6241301006 39.6862299707 42.5190377971 35.8018670783 22.7967984035 39.3337308236 24.6146069674 25.8051523923 25.0297488999 28.3671649287 24.0510623188 33.1690302887 26.6144094642 28.2010748557 23.6627251972 24.6572626656 34.1566851035 31.3494626198 24.8205859167 40.3961372687 37.8078629894 20.105772971 35.8939646405 30.0522264108 34.0448383454 34.1796632463 31.0838845973 40.8455984466 29.6284208278 30.3583427846 40.9721271323 45.2884066316
