qsort 10000000 avg 1655.59685
qsort 10000000 max 1744.553
qsort 10000000 min 1636.321
qsort 10000000 std 29.1635109508
qsort 20000000 avg 3426.1997
qsort 20000000 max 3455.546
qsort 20000000 min 3367.756
qsort 20000000 std 19.2457967198
qsort 50000000 avg 9023.22595
qsort 50000000 max 9093.697
qsort 50000000 min 8802.391
qsort 50000000 std 62.7697667097
qsort 100000000 avg 18756.4092
qsort 100000000 max 18890.014
qsort 100000000 min 18266.157
qsort 100000000 std 137.7280600725
qsort 200000000 avg 38841.6961
qsort 200000000 max 39037.846
qsort 200000000 min 38666.529
qsort 200000000 std 125.6136627994
