qsort 1000000 avg 119.1506
qsort 1000000 max 120.358
qsort 1000000 min 116.847
qsort 1000000 std 0.947922182
qsort 2000000 avg 245.8463
qsort 2000000 max 250.179
qsort 2000000 min 244.548
qsort 2000000 std 1.1937866379
qsort 5000000 avg 649.33495
qsort 5000000 max 652.618
qsort 5000000 min 646.689
qsort 5000000 std 1.3996456873
qsort 10000000 avg 1354.49955
qsort 10000000 max 1362.189
qsort 10000000 min 1337.211
qsort 10000000 std 5.7234702803
qsort 20000000 avg 2826.25115
qsort 20000000 max 2842.998
qsort 20000000 min 2807.105
qsort 20000000 std 9.4797801455
qsort 50000000 avg 7391.3102
qsort 50000000 max 7456.866
qsort 50000000 min 7251.72
qsort 50000000 std 42.0999255551
qsort 100000000 avg 15258.32345
qsort 100000000 max 15426.782
qsort 100000000 min 14965.704
qsort 100000000 std 135.5139722781
qsort 200000000 avg 31753.52625
qsort 200000000 max 31948.946
qsort 200000000 min 31252.642
qsort 200000000 std 147.4635010413
