program length stat 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36
cilk2 100000000 avg 20674.02935 10536.7171428571 7429.9186190476 5473.3542857143 4519.3693333333 3755.1329047619 3287.0052380952 2874.8902857143 2619.5005714286 2367.6967619048 2206.0564761905 2047.5443809524 1925.2393333333 1866.9884285714 1749.8833333333 1698.9953333333 1607.4316190476 1565.4172380952 1511.5397142857 1488.249 1457.7631428572 1399.2854761905 1390.291 1366.8957619048 1313.0730952381 1311.1449047619 1274.9912380952 1251.4649047619 1246.3919047619 1221.9062380952 1211.1096666667 1206.8928095238 1183.5843809524 1182.5797142857 1183.0115238095 1162.7333333333
cilk2 100000000 max 21030.45 10666.889 7705.052 5535.929 4596.212 3799.686 3348.537 2927.759 2702.29 2451.473 2302.47 2117.721 1983.218 2108.529 1903.036 1833.068 1791.427 1806.314 1708.504 1617.072 1583.28 1506.601 1528.72 1429.894 1391.887 1382.229 1413.185 1394.893 1319.054 1321.467 1299.202 1320.758 1279.767 1262.307 1292.227 1269.162
cilk2 100000000 min 20314.085 10410.319 7270.174 5406.423 4453.139 3698.433 3225.042 2822.964 2552.739 2315.331 2141.308 1938.084 1840.59 1717.563 1599.42 1566.43 1488.831 1379.634 1357.558 1394.893 1348.648 1298.612 1274.794 1272.971 1229.72 1249.284 1188.116 1192.023 1170.662 1169.484 1153.026 1146.882 1119.106 1123.194 1108.395 1099.969
cilk2 100000000 std 163.03966995 67.3737875181 123.6468450804 32.237166045 43.1716625987 25.1140574119 35.6223221519 29.2748966679 41.6404545707 38.3187453199 39.2943719553 42.2947082038 36.9477124452 83.9865801605 66.0572375083 81.3313745503 83.4611993327 119.702453583 90.3202931224 64.7715140282 68.3840173032 66.3116725597 79.0223367498 48.0392894409 49.3723431689 35.8282581225 52.3415587272 53.0318414369 50.1816412794 37.3548361647 34.6354104716 46.0901011971 38.5561111232 41.5656584095 47.1090287223 44.5419706292
openmp 100000000 avg 19563.1667 10435.5104285714 5771.4826190476 3903.1800952381 3100.8941904762 2515.4042857143 2238.9948095238 2004.1678095238 1828.0830952381 1791.229 1715.6821904762 1684.0986190476 1669.8454761905 1639.0672380952 1648.8777142857 1660.0260952381 1625.6982380952 1607.0316666667 1598.7349047619 1610.6205238095 1605.4409047619 1591.6059047619 1567.3705714286 1572.8153809524 1585.9452857143 1567.5797619048 1567.8024285714 1572.3564761905 1595.4073333333 1586.5783809524 1593.5751428572 1618.3594285714 1625.9060476191 1617.1114285714 1651.706 1658.2490476191
openmp 100000000 max 19670.924 10496.929 6594.586 4668.718 3489.405 2873.606 2716.964 2324.883 1988.823 1910.852 1825.386 1878.374 1855.339 1733.147 1886.619 1810.049 1783.138 1729.198 1714.899 1801.278 1703.173 1703.625 1649.404 1700.235 1694.234 1767.048 1709.57 1676.049 1689.512 1740.332 1732.853 1738.664 1741.305 1734.111 1794.553 1908.628
openmp 100000000 min 19180.235 10358.569 5098.788 3239.607 2561.487 2205.282 1983.967 1811.303 1685.26 1696.898 1614.101 1599.919 1519.767 1540.155 1477.885 1532.433 1544.664 1471.162 1446.366 1468.948 1527.691 1501.009 1475.734 1472.006 1512.905 1476.265 1409.68 1484.418 1515.913 1458.301 1502.477 1530.597 1463.122 1517.126 1554.068 1572.615
openmp 100000000 std 120.2181569639 32.4279754141 379.3036679488 427.1228885407 251.1053970202 186.6097047131 176.5751860958 147.9190367977 81.8903288746 54.4023891203 58.4289046848 59.2428489765 77.6988167745 50.6557789841 92.7236195972 74.4201892009 71.4588569331 62.6549304495 75.3021051418 75.2428093499 50.4392283812 54.0906877752 49.0132011305 60.1381442992 50.906588118 68.1059970208 81.0277677673 45.6010430326 55.6233301218 70.9978662802 55.844395309 58.4390734223 68.1147641826 60.2437530036 63.4975266369 75.8075299495
