program length stat 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36
cilk2 50000000 avg 9981.2897 5088.9880476191 3653.8871904762 2681.8311904762 2234.8892857143 1852.3138571429 1644.6863809524 1436.9132857143 1304.3418571429 1195.9778095238 1122.1593333333 1057.0430476191 1010.2539047619 958.2317619048 940.1396666667 894.4820952381 875.3363809524 840.4222380952 810.1634761905 766.8498571429 768.2364761905 730.6211904762 722.2327619048 704.7267619048 693.6717142857 672.5551428571 658.861 652.9876666667 657.014 644.6453333333 634.931 628.345047619 628.8245238095 627.1228571429 629.2685238095 626.1415714286
cilk2 50000000 max 10124.033 5182.116 3762.726 2758.638 2314.247 1892.645 1687.223 1465.777 1343.968 1236.087 1162.213 1142.035 1110.065 1050.572 1060.563 1000.795 988.259 905.484 893.995 874.096 847.196 838.577 830.376 776.947 792.196 767.336 719.928 751.248 715.199 751.541 711.216 765.265 752.778 779.003 753.697 775.015
cilk2 50000000 min 9907.466 5027.982 3534.396 2642.177 2189.832 1786.383 1570.455 1384.399 1252.147 1131.439 1072.968 981.738 931.759 879.15 825.693 783.431 740.404 743.249 697.585 687.847 662.926 644.539 641.136 623.96 616.589 631.924 594.314 577.131 601.764 591.111 585.221 582.521 571.197 552.346 568.819 560.253
cilk2 50000000 std 63.0450878333 37.6008730729 63.7549926897 27.480017059 29.7340168866 27.878279465 30.2961330346 19.5830024489 25.5102260384 28.6328851526 32.3248494495 40.848612485 52.839334164 51.3535363416 54.1272370719 66.5898455719 73.3676270459 38.4246444966 51.0903330657 44.086923218 46.061251434 48.0746565496 52.4347807585 44.0807912156 44.7259916996 32.4212420834 38.2053877457 44.1454882953 36.7210170584 45.196578934 37.3586461144 48.6821785446 47.3451767223 52.7422784418 51.9902372197 58.4935878003
openmp 50000000 avg 9414.79705 5093.2295714286 2908.9199047619 2032.8004285714 1539.6970476191 1317.9618571429 1212.4536666667 1089.9605714286 1035.5233809524 1006.5111428572 956.208952381 935.2021904762 917.0692857143 928.6976190476 899.6675714286 908.5967619048 882.2975238095 879.2685238095 877.5418095238 882.1339047619 883.262952381 883.7261904762 891.3555238095 882.3832857143 884.3698095238 892.3716666667 878.3936666667 895.9494285714 896.1043809524 909.9131904762 921.0374285714 934.314047619 950.798047619 951.2434761905 960.1556190476 975.001
openmp 50000000 max 9476.52 5133.736 3293.856 2455.672 1788.565 1603.705 1462.8 1300.961 1184.715 1151.918 1016.717 1019.924 964 993.14 947.604 1023.528 931.966 937.05 1017.343 975.678 985.708 965.591 963.615 989.767 1008.623 972.846 948.842 974.136 1012.8 1021.831 1029.2 1009.983 1029.447 1026.267 1073.67 1079.239
openmp 50000000 min 9328.347 5043.908 2572.291 1832.789 1342.616 1192.897 1036.036 959.105 913.828 905.85 898.971 869.913 854.442 844.182 836.421 856.824 812.817 829.102 794.001 805.865 796.358 809.741 785.063 795.751 779.565 824.833 828.423 814.166 774.177 841.307 821.597 846.995 898.465 857.722 873.879 900.384
openmp 50000000 std 40.8830617512 25.5354266061 175.0617732253 188.8204828541 142.1936065544 92.4522824528 98.3745101087 80.6802296226 68.834767993 63.8610384345 35.8045911714 43.615838664 33.1628300649 40.3103136287 30.1900837686 41.7605342338 36.4589875622 31.4990227477 48.8150458666 42.8011763529 44.1851770931 39.367481495 50.7172712955 54.0473820376 53.5763110382 40.9089759299 28.2916702464 36.8392113116 56.9874781575 53.6769487477 54.1749865395 42.9659918104 40.1652763111 38.8910865683 53.3295493769 43.7670262252
