qs_cilk2 2 20000000 100000 858 1958.834
qs_cilk2 2 20000000 100000 27370 1959.741
qs_cilk2 2 20000000 100000 5360 1960.702
qs_cilk2 2 20000000 100000 1716 1962.477
qs_cilk2 2 20000000 100000 22448 1963.707
qs_cilk2 2 20000000 100000 30304 1963.769
qs_cilk2 2 20000000 100000 31047 1964.022
qs_cilk2 2 20000000 100000 7234 1965.389
qs_cilk2 2 20000000 100000 895 1965.685
qs_cilk2 2 20000000 100000 22175 2027.443
qs_cilk2 2 50000000 250000 16281 5027.982
qs_cilk2 2 50000000 250000 4470 5052.487
qs_cilk2 2 50000000 250000 5930 5061.581
qs_cilk2 2 50000000 250000 7397 5065.523
qs_cilk2 2 50000000 250000 21464 5067.549
qs_cilk2 2 50000000 250000 2161 5068.690
qs_cilk2 2 50000000 250000 32099 5069.355
qs_cilk2 2 50000000 250000 26494 5069.994
qs_cilk2 2 50000000 250000 10938 5073.650
qs_cilk2 2 50000000 250000 28993 5079.120
qs_cilk2 2 50000000 250000 27293 5080.352
qs_cilk2 2 50000000 250000 27953 5083.102
qs_cilk2 2 50000000 250000 12755 5086.791
qs_cilk2 2 50000000 250000 2304 5087.157
qs_cilk2 2 50000000 250000 25208 5090.752
qs_cilk2 2 50000000 250000 7115 5091.361
qs_cilk2 2 50000000 250000 24728 5102.479
qs_cilk2 2 50000000 250000 28322 5104.032
qs_cilk2 2 50000000 250000 32102 5161.228
qs_cilk2 2 50000000 250000 1569 5163.448
qs_cilk2 2 50000000 250000 20188 5182.116
qs_cilk2 2 100000000 500000 20187 10410.319
qs_cilk2 2 100000000 500000 24203 10431.033
qs_cilk2 2 100000000 500000 6170 10470.672
qs_cilk2 2 100000000 500000 20160 10481.686
qs_cilk2 2 100000000 500000 14276 10484.018
qs_cilk2 2 100000000 500000 132 10486.953
qs_cilk2 2 100000000 500000 2523 10506.104
qs_cilk2 2 100000000 500000 3679 10517.493
qs_cilk2 2 100000000 500000 27135 10518.090
qs_cilk2 2 100000000 500000 25373 10524.102
qs_cilk2 2 100000000 500000 1816 10529.967
qs_cilk2 2 100000000 500000 27241 10530.854
qs_cilk2 2 100000000 500000 30412 10534.412
qs_cilk2 2 100000000 500000 13721 10566.347
qs_cilk2 2 100000000 500000 12326 10570.262
qs_cilk2 2 100000000 500000 30264 10577.320
qs_cilk2 2 100000000 500000 4556 10583.186
qs_cilk2 2 100000000 500000 6177 10609.421
qs_cilk2 2 100000000 500000 23552 10609.943
qs_cilk2 2 100000000 500000 32238 10661.989
qs_cilk2 2 100000000 500000 602 10666.889
qs_cilk2 3 10000000 50000 23701 695.908
qs_cilk2 3 10000000 50000 2539 701.789
qs_cilk2 3 10000000 50000 10009 705.297
qs_cilk2 3 10000000 50000 9178 706.068
qs_cilk2 3 10000000 50000 22434 708.238
qs_cilk2 3 10000000 50000 8288 708.264
qs_cilk2 3 10000000 50000 2012 711.309
qs_cilk2 3 10000000 50000 18612 711.362
qs_cilk2 3 10000000 50000 25385 713.592
qs_cilk2 3 10000000 50000 3728 713.680
qs_cilk2 3 10000000 50000 19955 714.459
qs_cilk2 3 10000000 50000 24589 715.854
qs_cilk2 3 10000000 50000 11196 715.938
qs_cilk2 3 10000000 50000 8044 716.670
qs_cilk2 3 10000000 50000 20229 718.798
qs_cilk2 3 10000000 50000 16949 719.877
qs_cilk2 3 10000000 50000 16509 725.440
qs_cilk2 3 10000000 50000 19902 727.093
qs_cilk2 3 10000000 50000 25245 758.031
qs_cilk2 3 10000000 50000 3985 761.987
qs_cilk2 3 10000000 50000 31731 766.099
qs_cilk2 3 20000000 100000 23354 1372.717
qs_cilk2 3 20000000 100000 2414 1380.191
qs_cilk2 3 20000000 100000 21119 1389.020
qs_cilk2 3 20000000 100000 4998 1402.038
qs_cilk2 3 20000000 100000 1619 1402.091
qs_cilk2 3 20000000 100000 24366 1404.646
qs_cilk2 3 20000000 100000 9396 1405.587
qs_cilk2 3 20000000 100000 10534 1407.608
qs_cilk2 3 20000000 100000 27148 1407.794
qs_cilk2 3 20000000 100000 23649 1412.045
qs_cilk2 3 20000000 100000 3793 1414.701
qs_cilk2 3 20000000 100000 14748 1414.732
qs_cilk2 3 20000000 100000 24502 1415.013
qs_cilk2 3 20000000 100000 31194 1417.996
qs_cilk2 3 20000000 100000 28824 1418.575
qs_cilk2 3 20000000 100000 13315 1424.675
qs_cilk2 3 20000000 100000 15352 1425.623
qs_cilk2 3 20000000 100000 31114 1428.968
qs_cilk2 3 20000000 100000 17331 1435.916
qs_cilk2 3 20000000 100000 23350 1455.552
qs_cilk2 3 20000000 100000 11781 1470.024
qs_cilk2 3 50000000 250000 3593 3534.396
qs_cilk2 3 50000000 250000 20136 3561.236
qs_cilk2 3 50000000 250000 28929 3571.000
qs_cilk2 3 50000000 250000 11882 3599.199
qs_cilk2 3 50000000 250000 11994 3602.042
qs_cilk2 3 50000000 250000 18512 3613.134
qs_cilk2 3 50000000 250000 16479 3618.332
qs_cilk2 3 50000000 250000 10395 3621.216
qs_cilk2 3 50000000 250000 14144 3632.848
